#KPL:P: caron
lcaron a
lcaron k
lcaron o
lcaron n
lcaron u
lcaron m
lcaron s
lcaron b
lcaron v
lcaron uacute
lcaron ccaron
lcaron scaron
lcaron zcaron
lcaron ncaron
lcaron h
lcaron j
lcaron r
lcaron g
lcaron t
lcaron d

tcaron a
tcaron o
tcaron u
tcaron l
tcaron j
tcaron scaron
tcaron p
tcaron t
tcaron r
tcaron h
tcaron ccaron
tcaron uring
tcaron k
tcaron c
tcaron m
tcaron n
tcaron aacute
tcaron s
tcaron d

dcaron a
dcaron o
dcaron u
dcaron zcaron
dcaron n
dcaron m
dcaron t
dcaron k
dcaron s
dcaron aacute
