#KPL:P: upper-lower
A a
a A
c A
dcaron A
e A
A f
f A
A g
A i
i A
A j
k A
A l
l A
lcaron A
A n
n A
A o
o A
r A
A s
s A
A t
t A
A u
u A
A v
v A
A x
x A
A z
z A
A germandbls
germandbls A
A eth
eth A
dcroat A
A kra
ldot A
A lslash
lslash A
A napostrophe
A tbar
tbar A
a.alt A
u.alt A
B a
B f
B g
B i
B j
B l
B n
B o
B s
B t
B u
B v
B x
B z
B germandbls
B eth
B kra
B lslash
B napostrophe
B tbar
C a
C f
C g
C i
C j
C l
C n
C o
C s
C t
C u
C v
C x
C z
C germandbls
C eth
C kra
C lslash
C napostrophe
C tbar
E a
E f
E g
E i
E j
E l
E n
E o
E s
E t
E u
E v
E x
E z
E germandbls
E eth
E kra
E lslash
E napostrophe
E tbar
F a
F f
F g
F i
F j
F l
F n
F o
F s
F t
F u
F v
F x
F z
F germandbls
F eth
F kra
F lslash
F napostrophe
F tbar
G a
G f
G g
G i
G j
G l
G n
G o
G s
G t
G u
G v
G x
G z
G germandbls
G eth
G kra
G lslash
G napostrophe
G tbar
H a
a H
c H
dcaron H
e H
H f
f H
H g
H i
i H
H j
k H
H l
l H
lcaron H
H n
n H
H o
o H
r H
H s
s H
H t
t H
H u
u H
H v
v H
H x
x H
H z
z H
H germandbls
germandbls H
H eth
eth H
dcroat H
H kra
ldot H
H lslash
lslash H
H napostrophe
H tbar
tbar H
a.alt H
u.alt H
I a
a I
c I
dcaron I
e I
I f
f I
I g
I i
i I
I j
k I
I l
l I
lcaron I
I n
n I
I o
o I
r I
I s
s I
I t
t I
I u
u I
I v
v I
I x
x I
I z
z I
I germandbls
germandbls I
I eth
eth I
dcroat I
I kra
ldot I
I lslash
lslash I
I napostrophe
I tbar
tbar I
a.alt I
u.alt I
a J
c J
dcaron J
e J
f J
i J
k J
l J
lcaron J
n J
o J
r J
s J
t J
u J
v J
x J
z J
germandbls J
eth J
dcroat J
ldot J
lslash J
tbar J
a.alt J
u.alt J
K a
K f
K g
K i
K j
K l
K n
K o
K s
K t
K u
K v
K x
K z
K germandbls
K eth
K kra
K lslash
K napostrophe
K tbar
L a
L f
L g
L i
L j
L l
L n
L o
L s
L t
L u
L v
L x
L z
L germandbls
L eth
L kra
L lslash
L napostrophe
L tbar
Lcaron a
Lcaron f
Lcaron g
Lcaron i
Lcaron j
Lcaron l
Lcaron n
Lcaron o
Lcaron s
Lcaron t
Lcaron u
Lcaron v
Lcaron x
Lcaron z
Lcaron germandbls
Lcaron eth
Lcaron kra
Lcaron lslash
Lcaron napostrophe
Lcaron tbar
O a
a O
c O
dcaron O
e O
O f
f O
O g
O i
i O
O j
k O
O l
l O
lcaron O
O n
n O
O o
o O
r O
O s
s O
O t
t O
O u
u O
O v
v O
O x
x O
O z
z O
O germandbls
germandbls O
O eth
eth O
dcroat O
O kra
ldot O
O lslash
lslash O
O napostrophe
O tbar
tbar O
a.alt O
u.alt O
P a
P f
P g
P i
P j
P l
P n
P o
P s
P t
P u
P v
P x
P z
P germandbls
P eth
P kra
P lslash
P napostrophe
P tbar
R a
R f
R g
R i
R j
R l
R n
R o
R s
R t
R u
R v
R x
R z
R germandbls
R eth
R kra
R lslash
R napostrophe
R tbar
S a
a S
c S
dcaron S
e S
S f
f S
S g
S i
i S
S j
k S
S l
l S
lcaron S
S n
n S
S o
o S
r S
S s
s S
S t
t S
S u
u S
S v
v S
S x
x S
S z
z S
S germandbls
germandbls S
S eth
eth S
dcroat S
S kra
ldot S
S lslash
lslash S
S napostrophe
S tbar
