0	.notdef	
1	.null	0000	
2	CR	000D	
3	space	0020	
4	uni00A0	00A0	
5	A	0041	
6	B	0042	
7	C	0043	
8	D	0044	
9	E	0045	
10	F	0046	
11	G	0047	
12	H	0048	
13	I	0049	
14	J	004A	
15	K	004B	
16	L	004C	
17	M	004D	
18	N	004E	
19	O	004F	
20	P	0050	
21	Q	0051	
22	R	0052	
23	S	0053	
24	T	0054	
25	U	0055	
26	V	0056	
27	W	0057	
28	X	0058	
29	Y	0059	
30	Z	005A	
31	a	0061	
32	b	0062	
33	c	0063	
34	d	0064	
35	e	0065	
36	f	0066	
37	g	0067	
38	h	0068	
39	i	0069	
40	j	006A	
41	k	006B	
42	l	006C	
43	m	006D	
44	n	006E	
45	o	006F	
46	p	0070	
47	q	0071	
48	r	0072	
49	s	0073	
50	t	0074	
51	u	0075	
52	v	0076	
53	w	0077	
54	x	0078	
55	y	0079	
56	z	007A	
57	Agrave	00C0	
58	agrave	00E0	
59	Aacute	00C1	
60	aacute	00E1	
61	Acircumflex	00C2	
62	acircumflex	00E2	
63	Atilde	00C3	
64	atilde	00E3	
65	Adieresis	00C4	
66	adieresis	00E4	
67	Amacron	0100	
68	amacron	0101	
69	Abreve	0102	
70	abreve	0103	
71	Aring	00C5	
72	aring	00E5	
73	Aringacute	01FA	
74	aringacute	01FB	
75	Adotbelow	1EA0	
76	adotbelow	1EA1	
77	Aogonek	0104	
78	aogonek	0105	
79	AE	00C6	
80	ae	00E6	
81	AEacute	01FC	
82	aeacute	01FD	
83	Cacute	0106	
84	cacute	0107	
85	Ccircumflex	0108	
86	ccircumflex	0109	
87	Ccaron	010C	
88	ccaron	010D	
89	Cdotaccent	010A	
90	cdotaccent	010B	
91	Ccedilla	00C7	
92	ccedilla	00E7	
93	Dcaron	010E	
94	dcaron	010F	
95	Dcroat	0110	
96	dcroat	0111	
97	Eth	00D0	
98	eth	00F0	
99	Egrave	00C8	
100	egrave	00E8	
101	Eacute	00C9	
102	eacute	00E9	
103	Ecircumflex	00CA	
104	ecircumflex	00EA	
105	Etilde	1EBC	
106	etilde	1EBD	
107	Ecaron	011A	
108	ecaron	011B	
109	Edieresis	00CB	
110	edieresis	00EB	
111	Emacron	0112	
112	emacron	0113	
113	Ebreve	0114	
114	ebreve	0115	
115	Edotaccent	0116	
116	edotaccent	0117	
117	Edotbelow	1EB8	
118	edotbelow	1EB9	
119	Eogonek	0118	
120	eogonek	0119	
121	Gcircumflex	011C	
122	gcircumflex	011D	
123	Gcaron	01E6	
124	gcaron	01E7	
125	Gbreve	011E	
126	gbreve	011F	
127	Gdotaccent	0120	
128	gdotaccent	0121	
129	Gcommaaccent	0122	
130	gcommaaccent	0123	
131	Hcircumflex	0124	
132	hcircumflex	0125	
133	Hbar	0126	
134	hbar	0127	
135	dotlessi	0131	uppercase is I (uni0049)
136	Igrave	00CC	
137	igrave	00EC	
138	Iacute	00CD	
139	iacute	00ED	
140	Icircumflex	00CE	
141	icircumflex	00EE	
142	Itilde	0128	
143	itilde	0129	
144	Idieresis	00CF	
145	idieresis	00EF	
146	Imacron	012A	
147	imacron	012B	
148	Ibreve	012C	
149	ibreve	012D	
150	Idotaccent	0130	lowercase is i (uni0069)
151	i.TRK	 used for Turkish languages in fonts with build in small caps 
152	Idotbelow	1ECA	
153	idotbelow	1ECB	
154	Iogonek	012E	
155	iogonek	012F	
156	dotlessj	0237	uppercase is J (uni004A)
157	Jcircumflex	0134	
158	jcircumflex	0135	
159	Kcommaaccent	0136	
160	kcommaaccent	0137	
161	kgreenlandic	0138	
162	Lacute	0139	
163	lacute	013A	
164	Lcaron	013D	
165	lcaron	013E	
166	Lcommaaccent	013B	
167	lcommaaccent	013C	
168	Lslash	0141	
169	lslash	0142	
170	Ldot	013F	
171	ldot	0140	
172	Nacute	0143	
173	nacute	0144	
174	Ntilde	00D1	
175	ntilde	00F1	
176	Ncaron	0147	
177	ncaron	0148	
178	Ncommaaccent	0145	
179	ncommaaccent	0146	
180	Nhookleft	019D	
181	nhookleft	0272	
182	Eng	014A	
183	eng	014B	
184	napostrophe	0149	
185	Ograve	00D2	
186	ograve	00F2	
187	Oacute	00D3	
188	oacute	00F3	
189	Ocircumflex	00D4	
190	ocircumflex	00F4	
191	Otilde	00D5	
192	otilde	00F5	
193	Odieresis	00D6	
194	odieresis	00F6	
195	Omacron	014C	
196	omacron	014D	
197	Obreve	014E	
198	obreve	014F	
199	Ohungarumlaut	0150	
200	ohungarumlaut	0151	
201	Odotbelow	1ECC	
202	odotbelow	1ECD	
203	Oogonek	01EA	
204	oogonek	01EB	
205	Oslash	00D8	
206	oslash	00F8	
207	Oslashacute	01FE	
208	oslashacute	01FF	
209	OE	0152	
210	oe	0153	
211	Racute	0154	
212	racute	0155	
213	Rcaron	0158	
214	rcaron	0159	
215	Rcommaaccent	0156	
216	rcommaaccent	0157	
217	Sacute	015A	
218	sacute	015B	
219	Scircumflex	015C	
220	scircumflex	015D	
221	Scaron	0160	
222	scaron	0161	
223	Scedilla	015E	
224	scedilla	015F	
225	Scommaaccent	0218	
226	scommaaccent	0219	
227	uni1E9E	1E9E	lowercase is eszett (uni00DF)
228	germandbls	00DF	uppercase is SS
229	germandbls.alt	 used for accessing uni1E9E in small caps fonts
230	Tcaron	0164	
231	tcaron	0165	
232	uni0162	0162	
233	uni0163	0163	
234	uni021A	021A	
235	uni021B	021B	
236	Tbar	0166	
237	tbar	0167	
238	Thorn	00DE	
239	thorn	00FE	
240	Ugrave	00D9	
241	ugrave	00F9	
242	Uacute	00DA	
243	uacute	00FA	
244	Ucircumflex	00DB	
245	ucircumflex	00FB	
246	Utilde	0168	
247	utilde	0169	
248	Udieresis	00DC	
249	udieresis	00FC	
250	Umacron	016A	
251	umacron	016B	
252	Ubreve	016C	
253	ubreve	016D	
254	Uring	016E	
255	uring	016F	
256	Uhungarumlaut	0170	
257	uhungarumlaut	0171	
258	Udotbelow	1EE4	
259	udotbelow	1EE5	
260	Uogonek	0172	
261	uogonek	0173	
262	Wgrave	1E80	
263	wgrave	1E81	
264	Wacute	1E82	
265	wacute	1E83	
266	Wcircumflex	0174	
267	wcircumflex	0175	
268	Wdieresis	1E84	
269	wdieresis	1E85	
270	Ygrave	1EF2	
271	ygrave	1EF3	
272	Yacute	00DD	
273	yacute	00FD	
274	Ycircumflex	0176	
275	ycircumflex	0177	
276	Ytilde	1EF8	
277	ytilde	1EF9	
278	Ydieresis	0178	
279	ydieresis	00FF	
280	Ymacron	0232	
281	ymacron	0233	
282	Zacute	0179	
283	zacute	017A	
284	Zcaron	017D	
285	zcaron	017E	
286	Zdotaccent	017B	
287	zdotaccent	017C	
288	IJ	0132	
289	ij	0133	
290	IJacute	E133	making Dutch look better
291	ijacute	E132	making Dutch look better
292	Schwa	018F	
293	schwa	0259	
294	f_f	FB00	
295	fi	FB01	
296	f_i	 included for legacy reasons
297	fl	FB02	
298	f_l	 included for legacy reasons
299	f_ij	EB01	making Dutch look better
300	f_f_i	FB03	
301	f_f_l	FB04	
302	f_f_ij	EB03	making Dutch look better
303	ampersand	0026	
304	at	0040	
305	asterisk	002A	
306	copyright	00A9	
307	registered	00AE	
308	trademark	2122	
309	asciicircum	005E	
310	asciitilde	007E	
311	grave	0060	
312	gravecap	 used for constructing accented capitals
313	acute	00B4	
314	acutecap	 used for constructing accented capitals
315	circumflex	02C6	
316	circumflexcap	 used for constructing accented capitals
317	caron	02C7	
318	caroncap	 used for constructing accented capitals
319	caronalt	
320	tilde	02DC	
321	tildecap	 used for constructing accented capitals
322	dieresis	00A8	
323	dieresiscap	 used for constructing accented capitals
324	macron	00AF	
325	macroncap	 used for constructing accented capitals
326	uni02C9	02C9	
327	breve	02D8	
328	brevecap	 used for constructing accented capitals
329	ring	02DA	
330	ringcap	 used for constructing accented capitals
331	hungarumlaut	02DD	
332	hungarumlautcap	 used for constructing accented capitals
333	dotaccent	02D9	
334	dotaccentcap	 used for constructing accented capitals
335	cedilla	00B8	
336	dotbelowcomb	0323	
337	ogonek	02DB	
338	commaaccent	0326	
339	commaaccentalt	
340	uni00AD	00AD	
341	hyphen	002D	
342	endash	2013	
343	emdash	2014	
344	underscore	005F	
345	period	002E	
346	comma	002C	
347	colon	003A	
