Vertical Stem List for master_otf/Radio-Canada-Light.otf on Sun Jul  2 14:32:48 2017
Count	Width	Glyph List
182	60	['a', 'a.alt', 'aacute', 'aacute.alt', 'abreve', 'abreve.alt', 'acircumflex', 'acircumflex.alt', 'adieresis', 'adieresis.alt', 'adotbelow', 'adotbelow.alt', 'agrave', 'agrave.alt', 'amacron', 'amacron.alt', 'aogonek', 'aogonek.alt', 'aring', 'aring.alt', 'aringacute', 'aringacute.alt', 'at', 'atilde', 'atilde.alt', 'b', 'd', 'dcaron', 'dcroat', 'dotlessi', 'dotlessj', 'eng', 'f', 'f_f', 'f_f_i', 'f_f_ij', 'f_f_l', 'f_i', 'f_ij', 'f_l', 'fi', 'fl', 'florin', 'g', 'gbreve', 'gcaron', 'gcedilla', 'gcircumflex', 'gdotaccent', 'germandbls', 'h', 'hbar', 'hcircumflex', 'i', 'i.TRK', 'iacute', 'ibreve', 'icircumflex', 'idieresis', 'idotbelow', 'igrave', 'ij', 'ijacute', 'imacron', 'integral', 'iogonek', 'itilde', 'j', 'jcircumflex', 'k', 'kcedilla', 'kra', 'l', 'lacute', 'lcaron', 'lcedilla', 'ldot', 'litre', 'lslash', 'm', 'mu', 'mu.math', 'n', 'nacute', 'napostrophe', 'ncaron', 'ncedilla', 'nhookleft', 'ntilde', 'p', 'pi', 'q', 'r', 'racute', 'rcaron', 'rcedilla', 't', 'tbar', 'tcaron', 'tcedilla', 'tcommaaccent', 'thorn', 'u', 'u.alt', 'uacute', 'uacute.alt', 'ubreve', 'ubreve.alt', 'ucircumflex', 'ucircumflex.alt', 'udieresis', 'udieresis.alt', 'udotbelow', 'udotbelow.alt', 'ugrave', 'ugrave.alt', 'uhungarumlaut', 'uhungarumlaut.alt', 'umacron', 'umacron.alt', 'uogonek', 'uogonek.alt', 'uring', 'uring.alt', 'utilde', 'utilde.alt']
140	62	['AE', 'AEacute', 'B', 'D', 'Dcaron', 'Dcroat', 'E', 'Eacute', 'Ebreve', 'Ecaron', 'Ecircumflex', 'Edieresis', 'Edotaccent', 'Edotbelow', 'Egrave', 'Emacron', 'Eng', 'Eogonek', 'Eth', 'Etilde', 'F', 'G', 'Gbreve', 'Gcaron', 'Gcedilla', 'Gcircumflex', 'Gdotaccent', 'H', 'Hbar', 'Hcircumflex', 'I', 'I.alt', 'IJ', 'IJacute', 'Iacute', 'Iacute.alt', 'Ibreve', 'Ibreve.alt', 'Icircumflex', 'Icircumflex.alt', 'Idieresis', 'Idieresis.alt', 'Idotaccent', 'Idotaccent.alt', 'Idotbelow', 'Idotbelow.alt', 'Igrave', 'Igrave.alt', 'Imacron', 'Imacron.alt', 'Iogonek', 'Iogonek.alt', 'Itilde', 'Itilde.alt', 'J', 'J.alt', 'Jcircumflex', 'Jcircumflex.alt', 'K', 'Kcedilla', 'L', 'Lacute', 'Lcaron', 'Lcedilla', 'Ldot', 'Lslash', 'M', 'N', 'Nacute', 'Ncaron', 'Ncedilla', 'Nhookleft', 'Ntilde', 'OE', 'P', 'R', 'Racute', 'Rcaron', 'Rcedilla', 'T', 'Tbar', 'Tcaron', 'Tcedilla', 'Tcommaaccent', 'Thorn', 'U', 'Uacute', 'Ubreve', 'Ucircumflex', 'Udieresis', 'Udotbelow', 'Ugrave', 'Uhungarumlaut', 'Umacron', 'Uogonek', 'Uring', 'Utilde', 'Y', 'Yacute', 'Ycircumflex', 'Ydieresis', 'Ygrave', 'Ymacron', 'Ytilde', 'exclam', 'exclamdown', 'four', 'four.pl', 'numero', 'one', 'one.pl', 'product', 'yen']
18	56	['bar', 'bracketleft', 'bracketright', 'brokenbar', 'cent', 'dagger', 'daggerdbl', 'dollar', 'logicalnot', 'onesuperior', 'ordfeminine', 'paragraph', 'plus', 'plusminus', 'quotedbl', 'quotesingle']
5	64	['Euro', 'Omega', 'ohm']
4	223	['Omega', 'ohm']
2	170	['gem']
2	87	['gem']
2	48	['trademark']
2	52	['registered', 'trademark']
2	53	['five', 'five.pl']
2	55	['question', 'questiondown']
1	100	['estimated']
1	101	['estimated']
1	232	['hyphen']
1	57	['asterisk']
