#KPL:P: figures-letters
zero.pl A
A zero.pl
B zero.pl
C zero.pl
E zero.pl
F zero.pl
G zero.pl
zero.pl H
H zero.pl
zero.pl I
I zero.pl
zero.pl J
K zero.pl
L zero.pl
Lcaron zero.pl
zero.pl O
O zero.pl
P zero.pl
R zero.pl
zero.pl S
S zero.pl
zero.pl T
T zero.pl
zero.pl U
U zero.pl
zero.pl V
V zero.pl
zero.pl X
X zero.pl
zero.pl Y
Y zero.pl
zero.pl Z
Z zero.pl
zero.pl AE
Thorn zero.pl
zero.pl J.alt
zero.pl a
a zero.pl
c zero.pl
dcaron zero.pl
e zero.pl
zero.pl f
f zero.pl
zero.pl i
i zero.pl
zero.pl j
k zero.pl
zero.pl l
l zero.pl
lcaron zero.pl
zero.pl n
n zero.pl
zero.pl o
o zero.pl
r zero.pl
zero.pl s
s zero.pl
zero.pl t
t zero.pl
tcaron zero.pl
zero.pl u
u zero.pl
zero.pl v
v zero.pl
zero.pl x
x zero.pl
zero.pl z
z zero.pl
zero.pl germandbls
germandbls zero.pl
zero.pl eth
eth zero.pl
dcroat zero.pl
zero.pl kra
ldot zero.pl
zero.pl lslash
lslash zero.pl
zero.pl napostrophe
zero.pl tbar
tbar zero.pl
a.alt zero.pl
u.alt zero.pl
one.pl A
A one.pl
B one.pl
C one.pl
E one.pl
F one.pl
G one.pl
one.pl H
H one.pl
one.pl I
I one.pl
one.pl J
K one.pl
L one.pl
Lcaron one.pl
one.pl O
O one.pl
P one.pl
R one.pl
one.pl S
S one.pl
one.pl T
T one.pl
one.pl U
U one.pl
one.pl V
V one.pl
one.pl X
X one.pl
one.pl Y
Y one.pl
one.pl Z
Z one.pl
one.pl AE
Thorn one.pl
one.pl J.alt
one.pl a
a one.pl
c one.pl
dcaron one.pl
e one.pl
one.pl f
f one.pl
one.pl i
i one.pl
one.pl j
k one.pl
one.pl l
l one.pl
lcaron one.pl
one.pl n
n one.pl
one.pl o
o one.pl
r one.pl
one.pl s
s one.pl
one.pl t
t one.pl
tcaron one.pl
one.pl u
u one.pl
one.pl v
v one.pl
one.pl x
x one.pl
one.pl z
z one.pl
one.pl germandbls
germandbls one.pl
one.pl eth
eth one.pl
dcroat one.pl
one.pl kra
ldot one.pl
one.pl lslash
lslash one.pl
one.pl napostrophe
one.pl tbar
tbar one.pl
a.alt one.pl
u.alt one.pl
two.pl A
A two.pl
B two.pl
C two.pl
E two.pl
F two.pl
G two.pl
two.pl H
H two.pl
two.pl I
I two.pl
two.pl J
K two.pl
L two.pl
Lcaron two.pl
two.pl O
O two.pl
P two.pl
R two.pl
two.pl S
S two.pl
two.pl T
T two.pl
two.pl U
U two.pl
two.pl V
V two.pl
two.pl X
X two.pl
two.pl Y
Y two.pl
two.pl Z
Z two.pl
two.pl AE
Thorn two.pl
two.pl J.alt
two.pl a
a two.pl
c two.pl
dcaron two.pl
e two.pl
two.pl f
f two.pl
two.pl i
i two.pl
two.pl j
k two.pl
two.pl l
l two.pl
lcaron two.pl
two.pl n
n two.pl
two.pl o
o two.pl
r two.pl
two.pl s
s two.pl
two.pl t
t two.pl
tcaron two.pl
two.pl u
u two.pl
two.pl v
v two.pl
two.pl x
x two.pl
two.pl z
z two.pl
two.pl germandbls
germandbls two.pl
two.pl eth
eth two.pl
dcroat two.pl
two.pl kra
ldot two.pl
two.pl lslash
lslash two.pl
two.pl napostrophe
two.pl tbar
tbar two.pl
a.alt two.pl
u.alt two.pl
three.pl A
A three.pl
B three.pl
C three.pl
E three.pl
F three.pl
G three.pl
three.pl H
H three.pl
three.pl I
I three.pl
three.pl J
K three.pl
L three.pl
Lcaron three.pl
three.pl O
O three.pl
P three.pl
R three.pl
three.pl S
S three.pl
three.pl T
T three.pl
three.pl U
U three.pl
three.pl V
V three.pl
three.pl X
X three.pl
three.pl Y
Y three.pl
three.pl Z
Z three.pl
three.pl AE
Thorn three.pl
three.pl J.alt
three.pl a
a three.pl
c three.pl
dcaron three.pl
e three.pl
three.pl f
f three.pl
three.pl i
i three.pl
three.pl j
k three.pl
three.pl l
l three.pl
lcaron three.pl
three.pl n
n three.pl
three.pl o
o three.pl
r three.pl
three.pl s
s three.pl
three.pl t
t three.pl
tcaron three.pl
three.pl u
u three.pl
three.pl v
v three.pl
three.pl x
x three.pl
three.pl z
z three.pl
three.pl germandbls
germandbls three.pl
three.pl eth
eth three.pl
dcroat three.pl
three.pl kra
ldot three.pl
three.pl lslash
lslash three.pl
three.pl napostrophe
three.pl tbar
tbar three.pl
a.alt three.pl
u.alt three.pl
four.pl A
A four.pl
B four.pl
C four.pl
E four.pl
F four.pl
G four.pl
four.pl H
H four.pl
four.pl I
I four.pl
four.pl J
K four.pl
L four.pl
Lcaron four.pl
four.pl O
O four.pl
P four.pl
R four.pl
four.pl S
S four.pl
four.pl T
T four.pl
four.pl U
U four.pl
four.pl V
V four.pl
four.pl X
X four.pl
four.pl Y
Y four.pl
four.pl Z
Z four.pl
four.pl AE
Thorn four.pl
four.pl J.alt
four.pl a
a four.pl
c four.pl
dcaron four.pl
e four.pl
four.pl f
f four.pl
four.pl i
i four.pl
four.pl j
k four.pl
four.pl l
l four.pl
lcaron four.pl
four.pl n
n four.pl
four.pl o
o four.pl
r four.pl
four.pl s
s four.pl
four.pl t
t four.pl
tcaron four.pl
four.pl u
u four.pl
four.pl v
v four.pl
four.pl x
x four.pl
four.pl z
z four.pl
four.pl germandbls
germandbls four.pl
four.pl eth
eth four.pl
dcroat four.pl
four.pl kra
ldot four.pl
four.pl lslash
lslash four.pl
four.pl napostrophe
four.pl tbar
tbar four.pl
a.alt four.pl
u.alt four.pl
five.pl A
A five.pl
B five.pl
C five.pl
E five.pl
F five.pl
G five.pl
five.pl H
H five.pl
five.pl I
I five.pl
five.pl J
K five.pl
L five.pl
Lcaron five.pl
five.pl O
O five.pl
P five.pl
R five.pl
five.pl S
S five.pl
five.pl T
T five.pl
five.pl U
U five.pl
five.pl V
V five.pl
five.pl X
X five.pl
five.pl Y
Y five.pl
five.pl Z
Z five.pl
five.pl AE
Thorn five.pl
five.pl J.alt
five.pl a
a five.pl
c five.pl
dcaron five.pl
e five.pl
five.pl f
f five.pl
five.pl i
i five.pl
five.pl j
k five.pl
five.pl l
l five.pl
lcaron five.pl
five.pl n
n five.pl
five.pl o
o five.pl
r five.pl
five.pl s
s five.pl
five.pl t
t five.pl
tcaron five.pl
five.pl u
u five.pl
five.pl v
v five.pl
five.pl x
x five.pl
five.pl z
z five.pl
five.pl germandbls
germandbls five.pl
five.pl eth
eth five.pl
dcroat five.pl
five.pl kra
ldot five.pl
five.pl lslash
lslash five.pl
five.pl napostrophe
five.pl tbar
tbar five.pl
a.alt five.pl
u.alt five.pl
six.pl A
A six.pl
B six.pl
C six.pl
E six.pl
F six.pl
G six.pl
six.pl H
H six.pl
six.pl I
I six.pl
six.pl J
K six.pl
L six.pl
Lcaron six.pl
six.pl O
O six.pl
P six.pl
R six.pl
six.pl S
S six.pl
six.pl T
T six.pl
six.pl U
U six.pl
six.pl V
V six.pl
six.pl X
X six.pl
six.pl Y
Y six.pl
six.pl Z
Z six.pl
six.pl AE
Thorn six.pl
six.pl J.alt
six.pl a
a six.pl
c six.pl
dcaron six.pl
e six.pl
six.pl f
f six.pl
six.pl i
i six.pl
six.pl j
k six.pl
six.pl l
l six.pl
lcaron six.pl
six.pl n
n six.pl
six.pl o
o six.pl
r six.pl
six.pl s
s six.pl
six.pl t
t six.pl
tcaron six.pl
six.pl u
u six.pl
six.pl v
v six.pl
six.pl x
x six.pl
six.pl z
z six.pl
six.pl germandbls
germandbls six.pl
six.pl eth
eth six.pl
dcroat six.pl
six.pl kra
ldot six.pl
six.pl lslash
lslash six.pl
six.pl napostrophe
six.pl tbar
tbar six.pl
a.alt six.pl
u.alt six.pl
seven.pl A
A seven.pl
B seven.pl
C seven.pl
E seven.pl
F seven.pl
G seven.pl
seven.pl H
H seven.pl
seven.pl I
I seven.pl
seven.pl J
K seven.pl
L seven.pl
Lcaron seven.pl
seven.pl O
O seven.pl
P seven.pl
R seven.pl
seven.pl S
S seven.pl
seven.pl T
T seven.pl
seven.pl U
U seven.pl
seven.pl V
V seven.pl
seven.pl X
X seven.pl
seven.pl Y
Y seven.pl
seven.pl Z
Z seven.pl
seven.pl AE
Thorn seven.pl
seven.pl J.alt
seven.pl a
a seven.pl
c seven.pl
dcaron seven.pl
e seven.pl
seven.pl f
f seven.pl
seven.pl i
i seven.pl
seven.pl j
k seven.pl
seven.pl l
l seven.pl
lcaron seven.pl
seven.pl n
n seven.pl
seven.pl o
o seven.pl
r seven.pl
seven.pl s
s seven.pl
seven.pl t
t seven.pl
tcaron seven.pl
seven.pl u
u seven.pl
seven.pl v
v seven.pl
seven.pl x
x seven.pl
seven.pl z
z seven.pl
seven.pl germandbls
germandbls seven.pl
seven.pl eth
eth seven.pl
dcroat seven.pl
seven.pl kra
ldot seven.pl
seven.pl lslash
lslash seven.pl
seven.pl napostrophe
seven.pl tbar
tbar seven.pl
a.alt seven.pl
u.alt seven.pl
eight.pl A
A eight.pl
B eight.pl
C eight.pl
E eight.pl
F eight.pl
G eight.pl
eight.pl H
H eight.pl
eight.pl I
I eight.pl
eight.pl J
K eight.pl
L eight.pl
Lcaron eight.pl
