#KPL:P: figures
zero.pl zero.pl
zero.pl one.pl
one.pl zero.pl
zero.pl two.pl
two.pl zero.pl
zero.pl three.pl
three.pl zero.pl
zero.pl four.pl
four.pl zero.pl
zero.pl five.pl
five.pl zero.pl
zero.pl six.pl
six.pl zero.pl
zero.pl seven.pl
seven.pl zero.pl
zero.pl eight.pl
eight.pl zero.pl
zero.pl nine.pl
nine.pl zero.pl
one.pl one.pl
one.pl two.pl
two.pl one.pl
one.pl three.pl
three.pl one.pl
one.pl four.pl
four.pl one.pl
one.pl five.pl
five.pl one.pl
one.pl six.pl
six.pl one.pl
one.pl seven.pl
seven.pl one.pl
one.pl eight.pl
eight.pl one.pl
one.pl nine.pl
nine.pl one.pl
two.pl two.pl
two.pl three.pl
three.pl two.pl
two.pl four.pl
four.pl two.pl
two.pl five.pl
five.pl two.pl
two.pl six.pl
six.pl two.pl
two.pl seven.pl
seven.pl two.pl
two.pl eight.pl
eight.pl two.pl
two.pl nine.pl
nine.pl two.pl
three.pl three.pl
three.pl four.pl
four.pl three.pl
three.pl five.pl
five.pl three.pl
three.pl six.pl
six.pl three.pl
three.pl seven.pl
seven.pl three.pl
three.pl eight.pl
eight.pl three.pl
three.pl nine.pl
nine.pl three.pl
four.pl four.pl
four.pl five.pl
five.pl four.pl
four.pl six.pl
six.pl four.pl
four.pl seven.pl
seven.pl four.pl
four.pl eight.pl
eight.pl four.pl
four.pl nine.pl
nine.pl four.pl
five.pl five.pl
five.pl six.pl
six.pl five.pl
five.pl seven.pl
seven.pl five.pl
five.pl eight.pl
eight.pl five.pl
five.pl nine.pl
nine.pl five.pl
six.pl six.pl
six.pl seven.pl
seven.pl six.pl
six.pl eight.pl
eight.pl six.pl
six.pl nine.pl
nine.pl six.pl
seven.pl seven.pl
seven.pl eight.pl
eight.pl seven.pl
seven.pl nine.pl
nine.pl seven.pl
eight.pl eight.pl
eight.pl nine.pl
nine.pl eight.pl
nine.pl nine.pl
