#KPL:P: lower
a a
c a
dcaron a
e a
a f
f a
a g
a i
i a
a j
k a
a l
l a
lcaron a
a n
n a
a o
o a
r a
a s
s a
a t
t a
a u
u a
a v
v a
a x
x a
a z
z a
a germandbls
germandbls a
a eth
eth a
dcroat a
a kra
ldot a
a lslash
lslash a
a napostrophe
a tbar
tbar a
a.alt a
u.alt a
c f
c g
c i
c j
c l
c n
c o
c s
c t
c u
c v
c x
c z
c germandbls
c eth
c kra
c lslash
c napostrophe
c tbar
dcaron f
dcaron g
dcaron i
dcaron j
dcaron l
dcaron n
dcaron o
dcaron s
dcaron t
dcaron u
dcaron v
dcaron x
dcaron z
dcaron germandbls
dcaron eth
dcaron kra
dcaron lslash
dcaron napostrophe
dcaron tbar
e f
e g
e i
e j
e l
e n
e o
e s
e t
e u
e v
e x
e z
e germandbls
e eth
e kra
e lslash
e napostrophe
e tbar
f f
f g
f i
i f
f j
k f
f l
l f
lcaron f
f n
n f
f o
o f
r f
f s
s f
f t
t f
f u
u f
f v
v f
f x
x f
f z
z f
f germandbls
germandbls f
f eth
eth f
dcroat f
f kra
ldot f
f lslash
lslash f
f napostrophe
f tbar
tbar f
a.alt f
u.alt f
i g
k g
l g
lcaron g
n g
o g
r g
s g
t g
u g
v g
x g
z g
germandbls g
eth g
dcroat g
ldot g
lslash g
tbar g
a.alt g
u.alt g
i i
i j
k i
i l
l i
lcaron i
i n
n i
i o
o i
r i
i s
s i
i t
t i
i u
u i
i v
v i
i x
x i
i z
z i
i germandbls
germandbls i
i eth
eth i
dcroat i
i kra
ldot i
i lslash
lslash i
i napostrophe
i tbar
tbar i
a.alt i
u.alt i
k j
l j
lcaron j
n j
o j
r j
s j
t j
u j
v j
x j
z j
germandbls j
eth j
dcroat j
ldot j
lslash j
tbar j
a.alt j
u.alt j
k l
k n
k o
k s
k t
k u
k v
k x
k z
k germandbls
k eth
k kra
k lslash
k napostrophe
k tbar
l l
lcaron l
l n
n l
l o
o l
r l
l s
s l
l t
t l
l u
u l
l v
v l
l x
x l
l z
z l
l germandbls
germandbls l
l eth
eth l
dcroat l
l kra
ldot l
l lslash
lslash l
l napostrophe
l tbar
tbar l
a.alt l
u.alt l
lcaron n
lcaron o
lcaron s
lcaron t
lcaron u
lcaron v
lcaron x
lcaron z
lcaron germandbls
lcaron eth
lcaron kra
lcaron lslash
lcaron napostrophe
lcaron tbar
n n
n o
o n
r n
n s
s n
n t
t n
n u
u n
n v
v n
n x
x n
n z
z n
n germandbls
germandbls n
n eth
eth n
dcroat n
n kra
ldot n
n lslash
lslash n
n napostrophe
n tbar
tbar n
a.alt n
u.alt n
o o
r o
o s
s o
o t
t o
o u
u o
o v
v o
o x
x o
o z
z o
o germandbls
germandbls o
o eth
eth o
dcroat o
o kra
ldot o
o lslash
lslash o
o napostrophe
o tbar
tbar o
a.alt o
u.alt o
r s
r t
r u
r v
r x
r z
r germandbls
r eth
r kra
r lslash
r napostrophe
r tbar
s s
s t
t s
s u
u s
s v
v s
s x
x s
s z
z s
s germandbls
germandbls s
s eth
eth s
dcroat s
s kra
ldot s
s lslash
lslash s
s napostrophe
s tbar
tbar s
a.alt s
u.alt s
t t
t u
u t
t v
v t
t x
x t
t z
z t
t germandbls
germandbls t
t eth
eth t
dcroat t
t kra
ldot t
t lslash
lslash t
t napostrophe
t tbar
tbar t
a.alt t
u.alt t
u u
u v
v u
u x
x u
u z
z u
u germandbls
germandbls u
u eth
eth u
dcroat u
u kra
ldot u
u lslash
lslash u
u napostrophe
u tbar
tbar u
a.alt u
u.alt u
v v
v x
x v
v z
z v
v germandbls
germandbls v
v eth
eth v
dcroat v
v kra
ldot v
v lslash
lslash v
v napostrophe
v tbar
tbar v
a.alt v
u.alt v
x x
x z
z x
x germandbls
germandbls x
x eth
eth x
dcroat x
x kra
ldot x
x lslash
lslash x
x napostrophe
x tbar
tbar x
a.alt x
u.alt x
z z
z germandbls
germandbls z
z eth
eth z
dcroat z
z kra
ldot z
z lslash
lslash z
z napostrophe
z tbar
tbar z
a.alt z
u.alt z
germandbls germandbls
germandbls eth
eth germandbls
dcroat germandbls
germandbls kra
ldot germandbls
germandbls lslash
lslash germandbls
germandbls napostrophe
germandbls tbar
tbar germandbls
a.alt germandbls
u.alt germandbls
eth eth
dcroat eth
eth kra
ldot eth
eth lslash
lslash eth
eth napostrophe
eth tbar
tbar eth
a.alt eth
u.alt eth
dcroat kra
dcroat lslash
dcroat napostrophe
dcroat tbar
ldot kra
lslash kra
tbar kra
a.alt kra
u.alt kra
ldot lslash
ldot napostrophe
ldot tbar
lslash lslash
lslash napostrophe
lslash tbar
tbar lslash
a.alt lslash
u.alt lslash
tbar napostrophe
a.alt napostrophe
u.alt napostrophe
tbar tbar
a.alt tbar
u.alt tbar
