#KPL:P: upper
A A
B A
C A
E A
F A
G A
A H
H A
A I
I A
A J
K A
L A
Lcaron A
A O
O A
P A
R A
A S
S A
A T
T A
A U
U A
A V
V A
A X
X A
A Y
Y A
A Z
Z A
A AE
Thorn A
A Nhookleft
A J.alt
B H
B I
B J
B O
B S
B T
B U
B V
B X
B Y
B Z
B AE
B Nhookleft
B J.alt
C H
C I
C J
C O
C S
C T
C U
C V
C X
C Y
C Z
C AE
C Nhookleft
C J.alt
E H
E I
E J
E O
E S
E T
E U
E V
E X
E Y
E Z
E AE
E Nhookleft
E J.alt
F H
F I
F J
F O
F S
F T
F U
F V
F X
F Y
F Z
F AE
F Nhookleft
F J.alt
G H
G I
G J
G O
G S
G T
G U
G V
G X
G Y
G Z
G AE
G Nhookleft
G J.alt
H H
H I
I H
H J
K H
L H
Lcaron H
H O
O H
P H
R H
H S
S H
H T
T H
H U
U H
H V
V H
H X
X H
H Y
Y H
H Z
Z H
H AE
Thorn H
H Nhookleft
H J.alt
I I
I J
K I
L I
Lcaron I
I O
O I
P I
R I
I S
S I
I T
T I
I U
U I
I V
V I
I X
X I
I Y
Y I
I Z
Z I
I AE
Thorn I
I Nhookleft
I J.alt
K J
L J
Lcaron J
O J
P J
R J
S J
T J
U J
V J
X J
Y J
Z J
Thorn J
K O
K S
K T
K U
K V
K X
K Y
K Z
K AE
K Nhookleft
K J.alt
L O
L S
L T
L U
L V
L X
L Y
L Z
L AE
L Nhookleft
L J.alt
Lcaron O
Lcaron S
Lcaron T
Lcaron U
Lcaron V
Lcaron X
Lcaron Y
Lcaron Z
Lcaron AE
Lcaron Nhookleft
Lcaron J.alt
O O
P O
R O
O S
S O
O T
T O
O U
U O
O V
V O
O X
X O
O Y
Y O
O Z
Z O
O AE
Thorn O
O Nhookleft
O J.alt
P S
P T
P U
P V
P X
P Y
P Z
P AE
P Nhookleft
P J.alt
R S
R T
R U
R V
R X
R Y
R Z
R AE
R Nhookleft
R J.alt
S S
S T
T S
S U
U S
S V
V S
S X
X S
S Y
Y S
S Z
Z S
S AE
Thorn S
S Nhookleft
S J.alt
T T
T U
U T
T V
V T
T X
X T
T Y
Y T
T Z
Z T
T AE
Thorn T
T Nhookleft
T J.alt
U U
U V
V U
U X
X U
U Y
Y U
U Z
Z U
U AE
Thorn U
U Nhookleft
U J.alt
V V
V X
X V
V Y
Y V
V Z
Z V
V AE
Thorn V
V Nhookleft
V J.alt
X X
X Y
Y X
X Z
Z X
X AE
Thorn X
X Nhookleft
X J.alt
Y Y
Y Z
Z Y
Y AE
Thorn Y
Y Nhookleft
Y J.alt
Z Z
Z AE
Thorn Z
Z Nhookleft
Z J.alt
Thorn AE
Thorn Nhookleft
Thorn J.alt
