Horizontal Stem List for master_otf/Radio-Canada-Light.otf on Sun Jul  2 14:32:48 2017
Count	Width	Glyph List
125	54	['A', 'AE', 'AEacute', 'Aacute', 'Abreve', 'Acircumflex', 'Adieresis', 'Adotbelow', 'Agrave', 'Amacron', 'Aogonek', 'Aring', 'Aringacute', 'Atilde', 'B', 'D', 'Dcaron', 'Dcroat', 'E', 'Eacute', 'Ebreve', 'Ecaron', 'Ecircumflex', 'Edieresis', 'Edotaccent', 'Edotbelow', 'Egrave', 'Emacron', 'Eogonek', 'Eth', 'Etilde', 'Euro', 'F', 'G', 'Gbreve', 'Gcaron', 'Gcedilla', 'Gcircumflex', 'Gdotaccent', 'H', 'Hbar', 'Hcircumflex', 'L', 'Lacute', 'Lcaron', 'Lcedilla', 'Ldot', 'Lslash', 'OE', 'P', 'R', 'Racute', 'Rcaron', 'Rcedilla', 'T', 'Tbar', 'Tcaron', 'Tcedilla', 'Tcommaaccent', 'Thorn', 'Z', 'Zacute', 'Zcaron', 'Zdotaccent', 'divide', 'equal', 'four', 'four.pl', 'greaterequal', 'lessequal', 'logicalnot', 'minus', 'notequal', 'numbersign', 'one', 'pi', 'plus', 'plusminus', 'sterling', 'two', 'two.pl', 'yen']
101	50	['Amacron', 'B', 'Emacron', 'I', 'Iacute', 'Ibreve', 'Icircumflex', 'Idieresis', 'Idotaccent', 'Idotbelow', 'Igrave', 'Imacron', 'Imacron.alt', 'Iogonek', 'Itilde', 'J', 'Jcircumflex', 'Omacron', 'Umacron', 'Ymacron', 'ae', 'aeacute', 'amacron', 'amacron.alt', 'bracketleft', 'bracketright', 'dagger', 'daggerdbl', 'dcroat', 'e', 'eacute', 'ebreve', 'ecaron', 'ecircumflex', 'edieresis', 'edotaccent', 'edotbelow', 'egrave', 'emacron', 'emdash', 'endash', 'eogonek', 'etilde', 'f', 'f_f', 'f_f_i', 'f_f_ij', 'f_f_l', 'f_i', 'f_ij', 'f_l', 'fi', 'fl', 'florin', 'hbar', 'hyphen', 'imacron', 'ipa:schwa', 'macron', 'macron.cap', 'macronmod', 'numero', 'oe', 'omacron', 'registered', 't', 'tbar', 'tcaron', 'tcedilla', 'tcommaaccent', 'threesuperior', 'twosuperior', 'umacron', 'umacron.alt', 'underscore', 'ymacron', 'z', 'zacute', 'zcaron', 'zdotaccent']
59	150	['aacute', 'aacute.alt', 'acircumflex', 'acircumflex.alt', 'acute', 'aeacute', 'agrave', 'agrave.alt', 'aringacute', 'aringacute.alt', 'cacute', 'caron', 'ccaron', 'ccircumflex', 'circumflex', 'eacute', 'ecaron', 'ecircumflex', 'egrave', 'gcaron', 'gcircumflex', 'grave', 'hcircumflex', 'hungarumlaut', 'iacute', 'icircumflex', 'igrave', 'ijacute', 'jcircumflex', 'lacute', 'nacute', 'ncaron', 'oacute', 'ocircumflex', 'ograve', 'ohungarumlaut', 'oslashacute', 'racute', 'rcaron', 'ring_acute', 'sacute', 'scaron', 'scircumflex', 'uacute', 'uacute.alt', 'ucircumflex', 'ucircumflex.alt', 'ugrave', 'ugrave.alt', 'uhungarumlaut', 'uhungarumlaut.alt', 'wacute', 'wcircumflex', 'wgrave', 'yacute', 'ycircumflex', 'ygrave', 'zacute', 'zcaron']
57	135	['AEacute', 'Aacute', 'Acircumflex', 'Agrave', 'Aringacute', 'Cacute', 'Ccaron', 'Ccircumflex', 'Dcaron', 'Eacute', 'Ecaron', 'Ecircumflex', 'Egrave', 'Gcaron', 'Gcircumflex', 'Hcircumflex', 'IJacute', 'Iacute', 'Iacute.alt', 'Icircumflex', 'Icircumflex.alt', 'Igrave', 'Igrave.alt', 'Jcircumflex', 'Jcircumflex.alt', 'Lacute', 'Nacute', 'Ncaron', 'Oacute', 'Ocircumflex', 'Ograve', 'Ohungarumlaut', 'Oslashacute', 'Racute', 'Rcaron', 'Sacute', 'Scaron', 'Scircumflex', 'Tcaron', 'Uacute', 'Ucircumflex', 'Ugrave', 'Uhungarumlaut', 'Wacute', 'Wcircumflex', 'Wgrave', 'Yacute', 'Ycircumflex', 'Ygrave', 'Zacute', 'Zcaron', 'acute.cap', 'caron.cap', 'circumflex.cap', 'grave.cap', 'hungarumlaut.cap', 'ring_acute.cap']
15	52	['AE', 'AEacute', 'E', 'Eacute', 'Ebreve', 'Ecaron', 'Ecircumflex', 'Edieresis', 'Edotaccent', 'Edotbelow', 'Egrave', 'Emacron', 'Eogonek', 'Etilde', 'OE']
13	56	['Delta', 'Omega', 'five', 'five.pl', 'increment', 'ohm', 'product', 'radical', 'sterling', 'summation', 'three', 'three.pl']
13	75	['N', 'Nacute', 'Ncaron', 'Ncedilla', 'Nhookleft', 'Ntilde', 'numero']
12	44	['a', 'aacute', 'abreve', 'acircumflex', 'adieresis', 'adotbelow', 'agrave', 'amacron', 'aogonek', 'aring', 'aringacute', 'atilde']
6	178	['Lcaron', 'caron.alt', 'dcaron', 'gem', 'lcaron', 'tcaron']
5	85	['w', 'wacute', 'wcircumflex', 'wdieresis', 'wgrave']
5	107	['W', 'Wacute', 'Wcircumflex', 'Wdieresis', 'Wgrave']
2	170	['gem']
2	43	['ae', 'aeacute']
2	48	['onesuperior', 'registered']
2	53	['three', 'three.pl']
2	57	['lozenge']
2	60	['Schwa', 'estimated']
2	62	['seven', 'seven.pl']
2	194	['commaaccent.alt', 'gcedilla']
2	203	['four', 'four.pl']
2	73	['four', 'four.pl']
2	87	['gem']
2	220	['quotedbl', 'quotesingle']
1	45	['threesuperior']
1	147	['ccedilla']
1	148	['Ccedilla']
1	164	['Hbar']
1	46	['trademark']
1	59	['M']
1	65	['asciicircum']
1	198	['yen']
1	71	['Eng']
1	77	['eth']
1	82	['v']
1	42	['ordfeminine']
